season,round,driver_id,position,points,wins
2022,22,max_verstappen,1,454,15
2022,22,leclerc,2,308,3
2022,22,perez,3,305,2
2022,22,russell,4,275,1
2022,22,sainz,5,246,1
2022,22,hamilton,6,240,0
2022,22,norris,7,122,0
2022,22,ocon,8,92,0
2022,22,alonso,9,81,0
2022,22,bottas,10,49,0
2022,22,ricciardo,11,37,0
2022,22,vettel,12,37,0
2022,22,kevin_magnussen,13,25,0
2022,22,gasly,14,23,0
2022,22,stroll,15,18,0
2022,22,mick_schumacher,16,12,0
2022,22,tsunoda,17,12,0
2022,22,zhou,18,6,0
2022,22,albon,19,4,0
2022,22,latifi,20,2,0
2022,22,de_vries,21,2,0
2022,22,hulkenberg,22,0,0
2023,22,max_verstappen,1,575,19
2023,22,perez,2,285,2
2023,22,hamilton,3,234,0
2023,22,alonso,4,206,0
2023,22,leclerc,5,206,0
2023,22,norris,6,205,0
2023,22,sainz,7,200,1
2023,22,russell,8,175,0
2023,22,piastri,9,97,0
2023,22,stroll,10,74,0
2023,22,gasly,11,62,0
2023,22,ocon,12,58,0
2023,22,albon,13,27,0
2023,22,tsunoda,14,17,0
2023,22,bottas,15,10,0
2023,22,hulkenberg,16,9,0
2023,22,ricciardo,17,6,0
2023,22,zhou,18,6,0
2023,22,kevin_magnussen,19,3,0
2023,22,lawson,20,2,0
2023,22,sargeant,21,1,0
2023,22,de_vries,22,0,0
2024,24,max_verstappen,1,437,9
2024,24,norris,2,374,4
2024,24,leclerc,3,356,3
2024,24,piastri,4,292,2
2024,24,sainz,5,290,2
2024,24,russell,6,245,2
2024,24,hamilton,7,223,2
2024,24,perez,8,152,0
2024,24,alonso,9,70,0
2024,24,gasly,10,42,0
2024,24,hulkenberg,11,41,0
2024,24,tsunoda,12,30,0
2024,24,stroll,13,24,0
2024,24,ocon,14,23,0
2024,24,kevin_magnussen,15,16,0
2024,24,albon,16,12,0
2024,24,ricciardo,17,12,0
2024,24,bearman,18,7,0
2024,24,colapinto,19,5,0
2024,24,zhou,20,4,0
2024,24,lawson,21,4,0
2024,24,bottas,22,0,0
2024,24,sargeant,23,0,0
2024,24,doohan,24,0,0
2025,21,norris,1,408,7
2025,21,piastri,2,396,7
2025,21,max_verstappen,3,392,7
2025,21,russell,4,309,2
2025,21,leclerc,5,230,0
2025,21,hamilton,6,152,0
2025,21,antonelli,7,150,0
2025,21,albon,8,73,0
2025,21,hulkenberg,9,64,0
2025,21,hadjar,10,51,0
2025,21,bearman,11,49,0
2025,21,alonso,12,48,0
2025,21,sainz,13,41,0
2025,21,lawson,14,38,0
2025,21,stroll,15,33,0
2025,21,ocon,16,32,0
2025,21,tsunoda,17,32,0
2025,21,gasly,18,22,0
2025,21,bortoleto,19,19,0
2025,21,colapinto,20,0,0
2025,21,doohan,21,0,0
