season,round,constructor_id,position,points,wins
2022,22,red_bull,1.0,759.0,17
2022,22,ferrari,2.0,554.0,4
2022,22,mercedes,3.0,515.0,1
2022,22,alpine,4.0,173.0,0
2022,22,mclaren,5.0,159.0,0
2022,22,alfa,6.0,55.0,0
2022,22,aston_martin,7.0,55.0,0
2022,22,haas,8.0,37.0,0
2022,22,alphatauri,9.0,35.0,0
2022,22,williams,10.0,8.0,0
2023,22,red_bull,1.0,860.0,21
2023,22,mercedes,2.0,409.0,0
2023,22,ferrari,3.0,406.0,1
2023,22,mclaren,4.0,302.0,0
2023,22,aston_martin,5.0,280.0,0
2023,22,alpine,6.0,120.0,0
2023,22,williams,7.0,28.0,0
2023,22,alphatauri,8.0,25.0,0
2023,22,alfa,9.0,16.0,0
2023,22,haas,10.0,12.0,0
2024,24,mclaren,1.0,666.0,6
2024,24,ferrari,2.0,652.0,5
2024,24,red_bull,3.0,589.0,9
2024,24,mercedes,4.0,468.0,4
2024,24,aston_martin,5.0,94.0,0
2024,24,alpine,6.0,65.0,0
2024,24,haas,7.0,58.0,0
2024,24,rb,8.0,46.0,0
2024,24,williams,9.0,17.0,0
2024,24,sauber,10.0,4.0,0
2025,21,mclaren,1.0,756.0,14
2025,21,mercedes,2.0,398.0,2
2025,21,red_bull,3.0,366.0,5
2025,21,ferrari,4.0,362.0,0
2025,21,williams,5.0,111.0,0
2025,21,rb,6.0,82.0,0
2025,21,aston_martin,7.0,72.0,0
2025,21,haas,8.0,70.0,0
2025,21,sauber,9.0,62.0,0
2025,21,alpine,10.0,22.0,0
